cookie,time,interaction,conversion,conversion_value,channel
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747232,MemberRegistration,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747233,MemberRegistration,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747269,MemberRegistration,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747420,ViewContent,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747438,ViewContent,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747444,AddToCart,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfjbuLO1i_eK7rLu7quo_-yDNAi66dYuzrlvlGrSlPrvhkx_yZQBOwMaAusaEALw_wcB,1659766227,Purchase,1,621,KOL_athishakhan
EAIaIQobChMI1-PgtP6v-QIVhRsrCh1cxQe9EAAYASAAEgLl4fD_BwE,1659768482,Purchase,1,5805,undefined
Cj0KCQjw_7KXBhCoARIsAPdPTfiVevPaIf2xidbqUF3nMgeuRUcvlq9J6p6IzgOthoT1RK1RWGEpGZwaAnG8EALw_wcB,1659782873,Purchase,1,1592,undefined
Cj0KCQjworiXBhDJARIsAMuzAuz8HkyBwP06gx-3tnrDaNTOTmpid7PMNMJVHHuWHvsCbLymu07F33YaAijSEALw_wcB,1659794408,ViewContent,0,0,google
Cj0KCQjworiXBhDJARIsAMuzAuz8HkyBwP06gx-3tnrDaNTOTmpid7PMNMJVHHuWHvsCbLymu07F33YaAijSEALw_wcB,1659794413,ViewContent,0,0,google
EAIaIQobChMI18P5-eiz-QIVwX0rCh0vhQneEAAYASAAEgI0J_D_BwE,1659844368,ViewContent,0,0,google
EAIaIQobChMI18P5-eiz-QIVwX0rCh0vhQneEAAYASAAEgI0J_D_BwE,1659844386,AddToCart,0,0,google
EAIaIQobChMI18P5-eiz-QIVwX0rCh0vhQneEAAYASAAEgI0J_D_BwE,1659845125,ViewContent,0,0,google
EAIaIQobChMI18P5-eiz-QIVwX0rCh0vhQneEAAYASAAEgI0J_D_BwE,1659845144,ViewContent,0,0,google
Cj0KCQjwxIOXBhCrARIsAL1QFCbIRh1jDreRvQ0OFE5H1l2Kqin6UBuFo8kcs4P-0gMEGPAWk7QX314aArO4EALw_wcB,1659849703,Purchase,1,621,google
Cj0KCQjworiXBhDJARIsAMuzAuxw6ufxivQYdAURVuQV0qUTad6Enm_sw-kVO8zmq2cOlO1wg--AWZgaAjTbEALw_wcB,1659856114,Purchase,1,545,google
EAIaIQobChMI9KGZv7S0-QIVy38rCh3WXAwrEAAYASAAEgLBN_D_BwE,1659865768,Purchase,1,528,google
Cj0KCQjwxb2XBhDBARIsAOjDZ37RrQckUZOb04Y8K4GpgXb0V9IhQ2YvSBp0pkq4zSWmOCw0NtrmX98aAiAVEALw_wcB,1659879197,MemberRegistration,0,0,google
Cj0KCQjwxb2XBhDBARIsAOjDZ37RrQckUZOb04Y8K4GpgXb0V9IhQ2YvSBp0pkq4zSWmOCw0NtrmX98aAiAVEALw_wcB,1659879198,MemberRegistration,0,0,google
Cj0KCQjworiXBhDJARIsAMuzAuyQ3aHsybvkvb0iBGDxgcqzKZJ5OsxQ-4S7krHtkQ4m3ilJnuCOpxcaAgGTEALw_wcB,1659879293,Purchase,1,590,mailchimp
Cj0KCQjwxb2XBhDBARIsAOjDZ34-SihZdZ4KEnCf1GfoGtZCLelwlbmBsV_1XauNrAZ1s0gc33I49XMaAuDREALw_wcB,1659879304,ViewContent,0,0,google
Cj0KCQjwxb2XBhDBARIsAOjDZ34-SihZdZ4KEnCf1GfoGtZCLelwlbmBsV_1XauNrAZ1s0gc33I49XMaAuDREALw_wcB,1659879308,AddToCart,0,0,google
Cj0KCQjworiXBhDJARIsAMuzAuxx_OuSvSuVmZzMLBsjNUanyN5Y30CKXZEioBLdC9CXBMhTjz0xIUEaApbNEALw_wcB,1659880901,Purchase,1,712,mailchimp
Cj0KCQjwxb2XBhDBARIsAOjDZ36k0sGadaC2QEU0L-v9PCXl2zEfjH_uphZMy4wCUTPOPfhBK-28HqIaAkKqEALw_wcB,1659888020,Purchase,1,1280.8,google
Cj0KCQjwxb2XBhDBARIsAOjDZ34-SihZdZ4KEnCf1GfoGtZCLelwlbmBsV_1XauNrAZ1s0gc33I49XMaAuDREALw_wcB,1659889067,ViewContent,0,0,google
Cj0KCQjwxb2XBhDBARIsAOjDZ34-SihZdZ4KEnCf1GfoGtZCLelwlbmBsV_1XauNrAZ1s0gc33I49XMaAuDREALw_wcB,1659889215,ViewContent,0,0,google
Cj0KCQjwxb2XBhDBARIsAOjDZ34-SihZdZ4KEnCf1GfoGtZCLelwlbmBsV_1XauNrAZ1s0gc33I49XMaAuDREALw_wcB,1659889227,AddToCart,0,0,google
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659889423,ViewContent,0,0,google
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659889430,AddToCart,0,0,google
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659889463,ViewContent,0,0,google
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659889469,AddToCart,0,0,google
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659889559,AddToCart,0,0,google
EAIaIQobChMIno7loIe1-QIVm5hmAh2gPgW1EAAYAiAAEgKqUPD_BwE,1659889639,Purchase,1,396,google
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659889894,ViewContent,0,0,mailchimp
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659889911,AddToCart,0,0,mailchimp
Cj0KCQjw8O-VBhCpARIsACMvVLOLcnlDsHfNDr37l8GUhxIMcHcErpGJp80RYBIT4tFgd03ttLbT0pAaAlxhEALw_wcB,1659916309,ViewContent,0,0,mailchimp
Cj0KCQjworiXBhDJARIsAMuzAuyQ3aHsybvkvb0iBGDxgcqzKZJ5OsxQ-4S7krHtkQ4m3ilJnuCOpxcaAgGTEALw_wcB,1659924153,ViewContent,0,0,mailchimp
Cj0KCQjwxb2XBhDBARIsAOjDZ346RBxkNwJJ0Acx1NBgdsoXbVa8gKnwNZmGUI74zdivKDwZrx55cgQaAp0VEALw_wcB,1659931505,Purchase,1,476,mailchimp
Cj0KCQjwxb2XBhDBARIsAOjDZ37QI_-MUwxVTT0jl4zEdIcEbD_ZVIEoo48cCofBCxDyXfENAbwXbR0aAnUREALw_wcB,1659939726,ViewContent,0,0,google
