Date,Channel,Cost,Revenue
"Sep 16, 2022",GDN Non-Smart Display,232.412265,0
"Sep 16, 2022",Facebook,0,324
"Sep 16, 2022",App Install,5221.27681,0
"Sep 16, 2022",Performance Max,64.845347,219.7
"Sep 16, 2022",G Shopping,464.381701,1307.7
"Sep 15, 2022",Search,1019.180417,399.2
"Sep 15, 2022",Discovery,1196.877101,359.4
"Sep 15, 2022",Performance Max,51.529085,0
"Sep 15, 2022",G Shopping,406.206777,931.7
"Sep 15, 2022",GDN Non-Smart Display,241.948044,0
"Sep 15, 2022",App Install,5138.530379,0
"Sep 14, 2022",Discovery,1582.694688,374.1
"Sep 14, 2022",GDN Non-Smart Display,195.064744,0
"Sep 14, 2022",Search,1091.150287,2576.7
"Sep 14, 2022",Performance Max,85.387673,0
"Sep 14, 2022",G Shopping,282.098949,724
"Sep 14, 2022",App Install,5222.087492,0
"Sep 14, 2022",Facebook,0,1050.9
"Sep 13, 2022",GDN Non-Smart Display,342.806082,179.7
"Sep 13, 2022",Search,1189.219555,1158.5
"Sep 13, 2022",Performance Max,34.133877,0
"Sep 13, 2022",Discovery,1472.657589,1378.4
"Sep 13, 2022",App Install,5957.108589,0
"Sep 13, 2022",YouTube,404.148417,199.6
"Sep 13, 2022",G Shopping,451.295493,159.6
"Sep 13, 2022",Facebook,0,2501.6
"Sep 12, 2022",G Shopping,435.3333,879
"Sep 12, 2022",Facebook,0,319.4
"Sep 12, 2022",GDN Non-Smart Display,359.260804,159.8
"Sep 12, 2022",Search,1164.605818,2760.3
"Sep 12, 2022",Discovery,1668.07531,149.9
"Sep 12, 2022",YouTube,422.395372,0
"Sep 12, 2022",App Install,8097.298448,0
"Sep 12, 2022",Performance Max,113.75647,0
"Sep 11, 2022",Discovery,947.483953,284.5
"Sep 11, 2022",Search,1286.330984,3045.6
"Sep 11, 2022",GDN Non-Smart Display,370.044789,0
"Sep 11, 2022",Facebook,0,299.6
"Sep 11, 2022",App Install,7400.134597,0
"Sep 11, 2022",YouTube,3148.174019,0
"Sep 11, 2022",G Shopping,1000.579947,579
"Sep 11, 2022",Performance Max,119.726694,259.8
"Sep 10, 2022",Discovery,872.003378,379.5
"Sep 10, 2022",GDN Non-Smart Display,393.303804,484.1
"Sep 10, 2022",Search,1146.006492,2202.2
"Sep 10, 2022",YouTube,3194.419278,0
"Sep 10, 2022",Facebook,0,1148.2
"Sep 10, 2022",G Shopping,1176.788385,924.2
"Sep 10, 2022",Performance Max,7.327985,159.8
"Sep 10, 2022",App Install,6047.779265,0
"Sep 9, 2022",Discovery,1348.976198,379.3
"Sep 9, 2022",Search,1171.756205,2696
"Sep 9, 2022",GDN Non-Smart Display,398.846396,479.5
"Sep 9, 2022",YouTube,3161.291845,159.8
"Sep 9, 2022",Facebook,0,299.5
"Sep 9, 2022",Performance Max,0.22423,0
"Sep 9, 2022",App Install,7505.552248,0
"Sep 9, 2022",G Shopping,473.580569,2366.4
"Sep 8, 2022",Search,1308.331929,2568.8
"Sep 8, 2022",GDN Non-Smart Display,317.955655,0
"Sep 8, 2022",Discovery,1221.165711,259.7
"Sep 8, 2022",YouTube,3112.914301,319.6
"Sep 8, 2022",Facebook,0,1342.5
"Sep 8, 2022",App Install,313.783846,0
"Sep 8, 2022",G Shopping,865.322257,699.1
"Sep 7, 2022",Search,1154.078935,2253.1
"Sep 7, 2022",YouTube,3192.578985,299.8
"Sep 7, 2022",GDN Non-Smart Display,730.94593,179.7
"Sep 7, 2022",Discovery,1434.009266,1433.3
"Sep 7, 2022",Facebook,0,519.1
"Sep 7, 2022",App Install,272.391965,0
"Sep 7, 2022",G Shopping,1057.834053,1802.1
"Sep 6, 2022",GDN Non-Smart Display,789.543275,109.7
"Sep 6, 2022",Search,1153.968079,2446.4
"Sep 6, 2022",Discovery,1402.209683,629.1
"Sep 6, 2022",YouTube,2993.504668,0
"Sep 6, 2022",App Install,188.248099,0
"Sep 6, 2022",Facebook,0,559.2
"Sep 6, 2022",G Shopping,678.047111,560
"Sep 5, 2022",Discovery,1228.357705,144.7
"Sep 5, 2022",Search,1446.415876,3853.8
"Sep 5, 2022",GDN Non-Smart Display,614.885663,159.8
"Sep 5, 2022",YouTube,2758.004014,0
"Sep 5, 2022",G Shopping,820.345233,1916.5
"Sep 5, 2022",Facebook,0,164.7
"Sep 5, 2022",App Install,137.643594,0
"Sep 4, 2022",Search,1221.774696,2547.1
"Sep 4, 2022",Discovery,1328.009754,0
"Sep 4, 2022",YouTube,2765.254281,319.3
"Sep 4, 2022",GDN Non-Smart Display,985.589394,0
"Sep 4, 2022",App Install,136.923249,0
"Sep 4, 2022",Facebook,0,389.1
"Sep 4, 2022",G Shopping,866.463867,369.4
"Sep 3, 2022",Search,1077.3735,1546.4
"Sep 3, 2022",Discovery,1113.643798,379.3
"Sep 3, 2022",Facebook,0,514.1
"Sep 3, 2022",GDN Non-Smart Display,1140.717804,299.8
"Sep 3, 2022",YouTube,2840.105492,0
"Sep 3, 2022",G Shopping,899.383529,1847.6
"Sep 3, 2022",App Install,315.889151,0
"Sep 2, 2022",Discovery,1391.505803,0
"Sep 2, 2022",YouTube,2828.136026,0
"Sep 2, 2022",Search,1076.074365,3854.7
"Sep 2, 2022",GDN Non-Smart Display,1175.153409,0
"Sep 2, 2022",G Shopping,813.503812,543.6
"Sep 2, 2022",Facebook,0,379.5
"Sep 2, 2022",App Install,5380.437802,0
"Sep 1, 2022",GDN Non-Smart Display,1384.357055,229.8
"Sep 1, 2022",Discovery,1738.774615,59.8
"Sep 1, 2022",Search,965.997984,2959.9
"Sep 1, 2022",Facebook,0,179.7
"Sep 1, 2022",App Install,7881.506318,0
"Sep 1, 2022",YouTube,2721.558166,0
"Sep 1, 2022",G Shopping,819.116564,529
"Aug 31, 2022",YouTube,1073.530943,0
"Aug 31, 2022",Facebook,0,2306.9
"Aug 31, 2022",Discovery,854.465884,0
"Aug 31, 2022",Search,1617.429212,3005.7
"Aug 31, 2022",GDN Non-Smart Display,365.532168,0
"Aug 31, 2022",App Install,14662.058842,0
"Aug 31, 2022",G Shopping,5411.65187,2075.8
"Aug 30, 2022",Discovery,731.89725,239.6
"Aug 30, 2022",Search,1411.991932,2251.1
"Aug 30, 2022",GDN Non-Smart Display,427.894091,119.8
"Aug 30, 2022",Facebook,0,918.6
"Aug 30, 2022",G Shopping,700.033593,906.6
"Aug 30, 2022",App Install,9024.903332,0
"Aug 29, 2022",Search,965.865269,1043.7
"Aug 29, 2022",Discovery,989.808102,119.7
"Aug 29, 2022",Facebook,0,906.1
"Aug 29, 2022",GDN Non-Smart Display,405.312542,0
"Aug 29, 2022",G Shopping,762.77009,1577.8
"Aug 29, 2022",App Install,5967.120149,0
"Aug 28, 2022",Discovery,686.473223,748.8
"Aug 28, 2022",Search,1078.360715,2775.8
"Aug 28, 2022",GDN Non-Smart Display,608.090209,0
"Aug 28, 2022",Facebook,0,788.9
"Aug 28, 2022",App Install,5977.702728,0
"Aug 28, 2022",G Shopping,768.301691,1268.3
"Aug 27, 2022",Discovery,900.454043,0
"Aug 27, 2022",GDN Non-Smart Display,819.072179,1108.1
"Aug 27, 2022",Facebook,0,759
"Aug 27, 2022",Search,1100.307466,2885.5
"Aug 27, 2022",App Install,62.218602,0
"Aug 27, 2022",G Shopping,756.025538,728.2
"Aug 26, 2022",GDN Non-Smart Display,873.501467,119.8
"Aug 26, 2022",Search,1683.754927,1277.7
"Aug 26, 2022",Discovery,1210.915628,1478.3
"Aug 26, 2022",Facebook,0,759.1
"Aug 26, 2022",App Install,55.776942,0
"Aug 26, 2022",G Shopping,716.819817,369.2
"Aug 25, 2022",Search,1825.570982,3863.4
"Aug 25, 2022",GDN Non-Smart Display,656.357022,224.5
"Aug 25, 2022",Discovery,1012.498631,29.9
"Aug 25, 2022",App Install,136.377494,0
"Aug 25, 2022",Facebook,0,159.8
"Aug 25, 2022",G Shopping,736.473787,1178.2
"Aug 24, 2022",Search,1009.560746,2172.8
"Aug 24, 2022",GDN Non-Smart Display,237.648016,0
"Aug 24, 2022",Discovery,1311.943613,444.4
"Aug 24, 2022",G Shopping,746.084682,299.1
"Aug 24, 2022",App Install,3724.113812,0
"Aug 24, 2022",Facebook,0,968.8
"Aug 23, 2022",Discovery,1227.137346,79.8
"Aug 23, 2022",Search,1059.041312,2911.2
"Aug 23, 2022",G Shopping,596.936972,719.1
"Aug 23, 2022",GDN Non-Smart Display,200.179393,59.9
"Aug 23, 2022",Facebook,0,419.3
"Aug 23, 2022",App Install,4494.314385,0
"Aug 22, 2022",Discovery,1123.230897,863.4
"Aug 22, 2022",G Shopping,829.735942,948.2
"Aug 22, 2022",Search,1043.839582,4678.3
"Aug 22, 2022",GDN Non-Smart Display,218.376553,409.5
"Aug 22, 2022",Facebook,0,79.9
"Aug 22, 2022",App Install,4587.960842,0
"Aug 21, 2022",Discovery,937.56576,139.8
"Aug 21, 2022",Search,1122.225549,1667.4
"Aug 21, 2022",GDN Non-Smart Display,455.162334,214.2
"Aug 21, 2022",Facebook,0,609.3
"Aug 21, 2022",G Shopping,841.471804,269.3
"Aug 21, 2022",App Install,4819.146508,0
"Aug 20, 2022",Discovery,1045.425019,204.7
"Aug 20, 2022",Search,1051.852914,1427.3
"Aug 20, 2022",GDN Non-Smart Display,538.954793,249.9
